id,retweet_count,favorite_count
832040443403784192,10523,0
832032802820481025,5030,18834
831939777352105988,6645,25362
831926988323639298,35,361
831911600680497154,7059,29228
831670449226514432,1962,11037
831650051525054464,2104,7585
831552930092285952,2485,9517
831322785565769729,1654,9714
831315979191906304,1210,6896
831309418084069378,2642,12395
831262627380748289,2225,12591
830956169170665475,1620,8433
830583320585068544,18259,70772
830173239259324417,6191,0
830097400375152640,3261,10388
829878982036299777,5444,0
829861396166877184,2125,12931
829501995190984704,11527,33581
829449946868879360,2204,11071
829374341691346946,10121,36632
829141528400556032,8050,25939
829011960981237760,17621,56121
828801551087042563,3694,0
828770345708580865,6373,27078
828708714936930305,12203,38780
828650029636317184,1463,10062
828409743546925057,1251,6662
828408677031882754,1396,8106
828381636999917570,2416,13380
828376505180889089,1154,7821
828372645993398273,3198,13270
828361771580813312,184,2323
828046555563323392,3109,12455
828011680017821696,2337,10986
827933404142436356,5682,21354
827653905312006145,3269,16350
827600520311402496,1032,7856
827324948884643840,3334,16831
827199976799354881,2439,11216
826958653328592898,5444,22889
826848821049180160,11125,38685
826615380357632002,4299,0
826598799820865537,277,5428
826598365270007810,2556,10698
826476773533745153,4565,19545
826240494070030336,2814,14086
826204788643753985,1015,5180
826115272272650244,3415,16642
825876512159186944,2036,11113
825829644528148480,2711,13531
825535076884762624,18733,55310
825147591692263424,4986,19446
825120256414846976,1397,0
825026590719483904,1397,6744
824796380199809024,5991,0
824775126675836928,3840,15908
824663926340194305,1893,10701
824325613288833024,11317,12516
824297048279236611,4218,15999
824025158776213504,645,5076
823939628516474880,2959,11323
823719002937630720,12258,0
823699002998870016,2640,13378
823581115634085888,2887,13866
823333489516937216,28,741
823322678127919110,4385,16741
823269594223824897,10760,0
822975315408461824,3757,18399
822872901745569793,47889,140855
822859134160621569,2492,14068
822647212903690241,7010,0
822610361945911296,3239,15718
822489057087389700,7010,19323
822462944365645825,16023,30329
822244816520155136,10760,37288
822163064745328640,5257,0
821886076407029760,2560,12093
821813639212650496,3652,0
821765923262631936,1819,8974
821522889702862852,1934,8548
821421320206483457,6123,0
821407182352777218,4758,12548
821153421864615936,10,271
821149554670182400,2202,9297
821107785811234820,2329,10219
821044531881721856,2506,13505
820837357901512704,7331,0
820749716845686786,10847,33629
820690176645140481,3532,13014
820494788566847489,620,0
820446719150292993,2828,0
820314633777061888,620,3556
820078625395449857,6882,21144
820013781606658049,1300,0
819952236453363712,1300,5673
819924195358416896,5302,13727
819711362133872643,3435,14363
819588359383371776,2154,10199
819347104292290561,1323,7701
819238181065359361,443,2433
819227688460238848,7331,24634
819015337530290176,40185,0
819015331746349057,20716,0
819006400881917954,20716,48184
819004803107983360,40185,92222
818646164899774465,22857,0
818627210458333184,8155,23688
818614493328580609,2834,10538
818588835076603904,6731,0
818536468981415936,2717,11655
818307523543449600,8905,0
818259473185828864,2509,11783
818145370475810820,2846,13123
817908911860748288,866,5172
817827839487737858,29769,55412
817777686764523521,2932,11430
817536400337801217,3327,12609
817502432452313088,3715,0
817423860136083457,16408,36569
817415592588222464,1056,5995
817181837579653120,9329,0
817171292965273600,2206,9323
817120970343411712,2877,13007
817056546584727552,1816,9163
816829038950027264,5182,0
816816676327063552,2233,10686
816697700272001025,2428,10485
816450570814898180,8905,32696
816336735214911488,2146,9190
816091915477250048,2365,9548
816062466425819140,1142,0
816014286006976512,5835,0
815990720817401858,1142,5346
815966073409433600,9329,24010
815745968457060357,4547,0
815736392542261248,2501,10528
815639385530101762,1808,8792
815390420867969024,4180,11079
814986499976527872,1422,8168
814638523311648768,2973,12063
814578408554463233,6376,0
814530161257443328,2035,9277
814153002265309185,9551,30802
813944609378369540,3516,0
813910438903693312,2068,9949
813812741911748608,15396,38909
813800681631023104,1929,8935
813217897535406080,8020,20010
813202720496779264,1974,9829
